team1,team2,score_team1,score_team2,wickets_team1,wickets_team2,team1_away_or_home,team2_home_away,winner,ground_country,match_date
West Indies,Australia,172,173,9,9,away,home,Australia,Australia,1996-01-01 00:00:00
West Indies,Sri Lanka,194,124,10,10,away,away,West Indies,Australia,1996-01-03 00:00:00
Sri Lanka,West Indies,102,104,10,3,away,away,West Indies,Australia,1996-01-05 00:00:00
West Indies,Australia,231,217,10,10,away,home,West Indies,Australia,1996-01-07 00:00:00
Australia,Sri Lanka,213,214,5,7,home,away,Sri Lanka,Australia,1996-01-09 00:00:00
South Africa,England,211,205,8,10,home,away,South Africa,South Africa,1996-01-09 00:00:00
South Africa,England,262,265,8,5,home,away,England,South Africa,1996-01-11 00:00:00
Australia,Sri Lanka,266,183,6,9,home,away,Australia,Australia,1996-01-12 00:00:00
England,South Africa,198,199,8,7,away,home,South Africa,South Africa,1996-01-13 00:00:00
Sri Lanka,West Indies,202,186,10,9,away,away,Sri Lanka,Australia,1996-01-14 00:00:00
England,South Africa,272,276,8,3,away,home,South Africa,South Africa,1996-01-14 00:00:00
Australia,Sri Lanka,242,246,4,7,home,away,Sri Lanka,Australia,1996-01-16 00:00:00
England,South Africa,184,185,10,5,away,home,South Africa,South Africa,1996-01-17 00:00:00
South Africa,England,129,115,10,10,home,away,South Africa,South Africa,1996-01-19 00:00:00
South Africa,England,218,154,9,10,home,away,South Africa,South Africa,1996-01-21 00:00:00
New Zealand,Zimbabwe,278,204,5,10,home,away,New Zealand,New Zealand,1996-01-28 00:00:00
Zimbabwe,New Zealand,181,184,9,4,away,home,New Zealand,New Zealand,1996-01-31 00:00:00
Zimbabwe,New Zealand,267,246,7,10,away,home,Zimbabwe,New Zealand,1996-02-03 00:00:00
New Zealand,England,239,228,6,9,away,away,New Zealand,India,1996-02-14 00:00:00
South Africa,United Arab Emirates,321,152,2,8,away,away,South Africa,Pakistan,1996-02-16 00:00:00
Zimbabwe,West Indies,151,155,9,4,away,away,West Indies,India,1996-02-16 00:00:00
New Zealand,Netherlands,307,188,8,7,away,away,New Zealand,India,1996-02-17 00:00:00
Kenya,India,199,203,6,3,away,home,India,India,1996-02-18 00:00:00
United Arab Emirates,England,136,140,10,2,away,away,England,Pakistan,1996-02-18 00:00:00
New Zealand,South Africa,177,178,9,5,away,away,South Africa,Pakistan,1996-02-20 00:00:00
Zimbabwe,Sri Lanka,228,229,6,4,away,home,Sri Lanka,Sri Lanka,1996-02-21 00:00:00
West Indies,India,173,174,10,5,away,home,India,India,1996-02-21 00:00:00
England,Netherlands,279,230,4,6,away,away,England,Pakistan,1996-02-22 00:00:00
Australia,Kenya,304,207,7,7,away,away,Australia,India,1996-02-23 00:00:00
United Arab Emirates,Pakistan,109,112,9,1,away,home,Pakistan,Pakistan,1996-02-24 00:00:00
South Africa,England,230,152,10,10,away,away,South Africa,Pakistan,1996-02-25 00:00:00
Netherlands,Pakistan,145,151,7,2,away,home,Pakistan,Pakistan,1996-02-26 00:00:00
Kenya,Zimbabwe,134,137,10,5,away,away,Zimbabwe,India,1996-02-27 00:00:00
New Zealand,United Arab Emirates,276,167,8,9,away,away,New Zealand,Pakistan,1996-02-27 00:00:00
Australia,India,258,242,10,10,away,home,Australia,India,1996-02-27 00:00:00
Kenya,West Indies,166,93,10,10,away,away,Kenya,India,1996-02-29 00:00:00
Pakistan,South Africa,242,243,6,5,home,away,South Africa,Pakistan,1996-02-29 00:00:00
Zimbabwe,Australia,154,158,10,2,away,away,Australia,India,1996-03-01 00:00:00
Netherlands,United Arab Emirates,216,220,9,3,away,away,U.A.E.,Pakistan,1996-03-01 00:00:00
India,Sri Lanka,271,272,3,4,home,away,Sri Lanka,India,1996-03-02 00:00:00
England,Pakistan,249,250,9,3,away,home,Pakistan,Pakistan,1996-03-03 00:00:00
